"nest","sampleid","latitude","longitude","nw","nq","efq","nm","efm","mpc","rqq","rqm","nf","nfp","CruF4","CruF4.1","CruE6","CruE6.1","CruB3","CruB3.1","CggF9","CggF9.1","CggA4_A5_B3","CggA4_A5_B3.1","CggC3_E6","CggC3_E6.1","CruE8","CruE8.1","CruG1","CruG1.1","CruC2t7","CruC2t7.1","CruG4","CruG4.1","CggD11","CggD11.1","CruB8","CruB8.1","CggD10","CggD10.1","CruH4","CruH4.1","CggC11","CggC11.1","CggG9","CggG9.1","CruF11","CruF11.1","PHt","Hs_obs","Hs_exp","IR","HL","agr","cer","cers","cult","wtr","urb","road","cert"
"G09","G0904",7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,2,0.1,151,153,219,227,168,170,222,222,189,189,260,260,204,224,188,190,276,276,206,220,150,152,246,248,204,208,233,233,228,228,240,246,230,266,0.647058823529412,1.20547945205479,1.0526630581058,-0.118881118881119,0.310595412542241,0,0,0,0.9,0,0,0.1,0
"G09","G0905",7535395,277949,20,5,4.34,2,1.8,1.16,0.08,0.04,3,0.15,153,153,227,229,168,170,222,224,189,191,260,260,214,230,188,188,278,278,220,220,150,150,246,248,204,208,233,233,228,228,242,260,248,252,0.529411764705882,0.986301369863014,0.86126977481384,0.0897597977243993,0.417147641974939,0,0,0,0.9,0,0,0.1,0
"G11","G1101",7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,7,0.35,151,153,219,227,168,170,222,222,189,189,260,260,204,214,188,190,278,280,218,218,150,152,246,246,208,208,233,237,228,228,246,266,230,236,0.588235294117647,1.0958904109589,0.956966416459822,-0.0464355788096798,0.348814258799605,0,0,0,1,0,0,0,0
"G11","G1102",7538505,277226,20,8,5.62,3,3.57142857142857,1.32142857142857,0.12,0.38,5,0.25,151,151,227,227,169,170,222,228,189,193,260,260,204,228,188,188,276,278,206,220,150,150,246,246,204,208,237,237,228,228,252,258,232,236,0.529411764705882,0.986301369863014,0.86126977481384,0.0798722044728433,0.377014862884656,0,0,0,1,0,0,0,0
"G11","G1103",7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,2,0.1,147,149,219,219,170,170,222,222,191,195,260,260,226,236,188,188,266,266,218,218,150,150,246,248,208,208,237,247,228,228,244,244,230,252,0.352941176470588,0.657534246575343,0.574179849875893,0.431952662721893,0.58216453841323,0,0,0,1,0,0,0,0
"G11","G1104",7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,2,0.1,135,135,227,227,170,170,222,224,189,189,260,260,214,214,188,190,278,278,218,218,150,150,246,246,206,208,233,233,228,228,246,246,230,236,0.235294117647059,0.438356164383562,0.382786566583929,0.571619812583668,0.754448398576512,0,0,0,1,0,0,0,0
"G11","G1105",7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,157,157,227,227,170,170,222,222,189,189,260,260,204,204,188,190,274,276,218,222,150,152,246,248,204,208,237,237,228,228,258,258,230,252,0.411764705882353,0.767123287671233,0.669876491521876,0.281129653401797,0.584168186847693,0,0,0,1,0,0,0,0
"G11","G1106",7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,151,157,219,233,170,170,222,224,191,197,260,260,210,220,188,188,278,278,206,224,150,152,246,246,204,208,233,235,228,228,244,248,236,244,0.647058823529412,1.20547945205479,1.0526630581058,-0.0138248847926268,0.281946230449475,0,0,0,1,0,0,0,0
"G11","G1107",7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,151,153,227,227,170,170,224,228,189,189,260,260,224,224,188,190,284,288,218,220,150,152,246,246,204,206,233,245,228,228,232,258,236,252,0.588235294117647,1.0958904109589,0.956966416459822,0.042489527229204,0.343401417506504,0,0,0,1,0,0,0,0
"G11","G1108",7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,151,151,219,227,168,168,224,224,189,189,260,260,220,224,188,188,276,278,222,222,150,150,246,248,204,204,233,239,228,228,246,246,226,232,0.352941176470588,0.657534246575343,0.574179849875893,0.409230769230769,0.580130984778253,0,0,0,1,0,0,0,0
